Dress_ID,Style,Price,Rating,Size,Season,Material
1006032852,Classic,Low,4.6,M,Summer,null
1212192089,Casual,Low,0,L,Summer,microfiber
1190380701,vintage,High,0,L,Autumn,polyster
966005983,Brief,Average,4.6,L,Spring,silk
876339541,cute,Low,4.5,M,Summer,chiffonfabric
1068332458,bohemian,Low,0,M,Summer,null
1220707172,Casual,Average,0,XL,Summer,cotton
1219677488,Novelty,Average,0,free,Autumn,polyster
1113094204,Flare,Average,0,free,Spring,cotton
985292672,bohemian,Low,0,free,Summer,nylon
1117293701,party,Average,5,free,Summer,polyster
898481530,Flare,Average,0,free,Spring,nylon
957723897,Classic,Low,4.7,M,Winter,null
749031896,vintage,Average,4.8,M,Summer,cotton
1055411544,Casual,Low,5,M,Summer,cotton
1162628131,Casual,Low,0,free,Winter,other
624314841,cute,Average,4.7,L,Spring,cotton
830467746,bohemian,Medium,5,free,Autumn,null
840857118,Brief,Average,0,M,Winter,cotton
1113221101,Classic,Average,5,M,Autumn,milksilk
861754372,Classic,Average,4.5,L,Autumn,cotton
856178100,Casual,Low,4.3,M,Summer,null
1122989777,Brief,Low,4,XL,Summer,cotton
840516484,Classic,Average,4.7,S,Summer,cotton
768517084,Classic,Average,0,free,Autumn,polyster
1139843344,Classic,Average,0,M,Autumn,cotton
1004212992,Classic,Average,4.7,M,Spring,null
1235426503,Casual,Low,0,L,Summer,cotton
942808364,cute,Low,4.3,free,Autumn,polyster
629131530,cute,Low,4.7,M,Spring,chiffonfabric
851945460,Casual,Average,4.6,L,Autumn,polyster
1150275464,Casual,Low,0,M,Spring,silk
1026634314,Casual,Average,4.4,L,Autumn,linen
978773911,Brief,Average,4.3,L,Spring,null
827791337,party,High,4.7,M,Spring,null
640823350,Casual,Low,4.6,free,Winter,cotton
801861988,vintage,Average,4.6,free,Winter,null
1060207186,Brief,Average,0,M,Autumn,cotton
1054679816,party,Average,4.6,M,Winter,cotton
941190190,Casual,Average,4.5,M,Spring,cotton
943844640,Brief,Average,5,free,Spring,cotton
661795386,Brief,Low,4.4,L,Autumn,rayon
875312593,Casual,Average,4.8,M,Winter,lycra
971387676,Casual,Low,4.8,free,Spring,cotton
1021185637,vintage,Average,4.8,M,Winter,cotton
1163826114,Classic,Average,0,M,Winter,null
735635595,Classic,Average,4.8,L,Spring,polyster
1175184188,Casual,Average,0,M,Summer,cotton
